station_name,borough,entrance,lines
Far Rockaway - Mott Av,Queens,11-10 Bch Channel Dr,A
Beach 25 St,Queens,24-01 Far Rockaway Boulevard,A
Beach 36 St,,,A
Beach 44 St,Queens,215 Beach 44th Street,A
Beach 60 St,Queens,57-37 Arverne Boulevard,A
Beach 67 St,Queens,67-20 Rockaway Beach Blvd,A
Broad Channel,Queens,613 104 St,"A,S"
Howard Beach - JFK Airport,Queens,1 Coleman Sq,A
Aqueduct - N Conduit Av,,,A
Aqueduct Racetrack,,,A
Rockaway Blvd,Queens,94-24 Liberty Ave,A
88 St,Queens,86-25 Liberty Ave,A
80 St,Queens,78-09 Liberty Avenue,A
Grant Av,Brooklyn,Elderts Lane,A
Euclid Av,Brooklyn,2702 Pitkin Ave,"A,C"
Shepherd Av,Brooklyn,2482 Pitkin Avenue,"A,C"
Van Siclen Av,Brooklyn,2222 Pitkin Ave,"A,C"
Liberty Av,Brooklyn,138 Pennsylvania Ave,"A,C"
Broadway Jct,Brooklyn,2399 Fulton Street,"A,C,J,L,Z"
Rockaway Av,Brooklyn,2130 Fulton St,"A,C"
Ralph Av,Brooklyn,1895 Fulton St,"A,C"
Utica Av,,,"A,C"
Kingston - Throop Avs,Brooklyn,1513 Fulton St,"A,C"
Nostrand Av,Brooklyn,1256 Fulton St,"A,C"
Franklin Av,Brooklyn,1128 Fulton Street,"A,C,S"
Clinton - Washington Avs,Brooklyn,937 Fulton St,"A,C"
Lafayette Av,Brooklyn,698 Fulton St,"A,C"
Hoyt - Schermerhorn Sts,Brooklyn,227 Schermerhorn St,"A,C,G"
Jay St - Metrotech,Brooklyn,55 Willoughby Street,"A,C,F,R"
High St,,,"A,C"
Fulton St,Manhattan,139 Fulton St,"A,C,N,R,W,J,Z,2,3,4,5"
Chambers St,Manhattan,Church Street,"A,C"
Canal St,Manhattan,1 Lispenard Street,"A,C,E"
Spring St,Manhattan,188 Ave Of The Americas,"A,C,E"
W 4 St,Manhattan,West 4th Street,"A,B,C,D,E,F,M"
14 St - 8 Avenue,Manhattan,81 8th Avenue,"A,C,E,L"
23 St,Manhattan,West 24th Street,"A,C,E"
34 St - Penn Station,Manhattan,480 8th Avenue,"A,C,E"
42 St - Port Authority Bus Terminal,Manhattan,661 8 Ave,"A,C,E"
50 St,Manhattan,832 8 Ave,"A,C,E"
59 St - Columbus Circle,Manhattan,Columbus Circle,"A,B,C,D,1"
72 St,Manhattan,115 Central Park W,"A,B,C"
81 St - Museum Of Natural History,,,"A,B,C"
86 St,Manhattan,265 Central Park West,"A,B,C"
96 St,Manhattan,2 W 96 St,"A,B,C"
103 St,Manhattan,435 Central Park West,"A,B,C"
Cathedral Pkwy (110 St),Manhattan,Frederick Douglass Circle,"A,B,C"
116 St,Manhattan,2168 Frederick Douglass Blvd,"A,B,C"
125 St,Manhattan,310 Saint Nicholas Avenue,"A,B,C,D"
135 St,Manhattan,26 Edgecombe Avenue,"A,B,C"
145 St,Manhattan,716 St Nicholas Ave,"A,B,C,D"
155 St,Manhattan,889 Saint Nicholas Avenue,"A,C"
163 St - Amsterdam Av,Manhattan,1033 St Nicholas Ave,"A,C"
168 St,Manhattan,West 168th Street,"A,C,1"
175 St,Manhattan,370 Fort Washington Avenue,A
181 St,Manhattan,481 Ft Washington Ave,A
190 St,,,A
Dyckman St,Manhattan,Riverside Drive,A
Inwood - 207 St,Manhattan,4966 Broadway,A
